# group_id d_radial[kpc] v_radial[km/s] RA Dec MAG_B MAG_K
0 43578.531250 3402.464355 100.911682 -45.913738 -18.311295 -21.792870
0 44532.820312 2138.184082 99.586227 -46.279167 -18.583275 -21.440149
0 42437.265625 2794.028809 106.291061 -50.436390 -18.249302 -20.941347
0 41295.015625 2143.490479 101.222572 -42.866436 -18.530581 -22.054594
0 42496.472656 3335.707031 103.095856 -49.241379 -19.191261 -21.895935
0 44421.144531 2767.026855 99.992561 -47.549389 -18.084044 -21.706774
0 40817.074219 2074.656982 100.335732 -44.380386 -18.160389 -21.686525
0 43266.726562 1741.973877 100.050804 -45.664368 -18.213375 -21.895899
0 41478.593750 2240.690430 101.184975 -43.285374 -18.607370 -21.703527
0 40740.003906 3061.304688 97.822937 -44.488605 -18.303101 -21.694212
0 42098.359375 2812.584717 100.612366 -45.560261 -18.301706 -22.318535
0 43609.359375 2547.048584 99.151825 -45.871815 -19.276978 -22.183409
0 43523.492188 1948.560425 99.360352 -45.902565 -19.479797 -22.368372
0 42446.867188 3073.675781 105.143402 -49.514122 -17.870300 -20.665571
0 42077.179688 1827.591187 102.858360 -46.377998 -18.101063 -21.471161
0 43761.542969 3313.550537 101.714165 -46.984398 -17.932945 -21.627480
0 43959.429688 2006.734985 100.807953 -44.433884 -18.152229 -20.956472
0 41248.726562 2795.118896 98.392448 -43.018284 -18.427652 -21.062628
0 42246.308594 2958.316895 100.887367 -49.175835 -17.695084 -20.977587
0 44124.164062 2518.561523 100.641296 -48.762447 -17.625063 -20.884161
0 42001.546875 1960.858643 100.161293 -45.372963 -18.904604 -22.266937
0 42772.199219 2431.174316 102.655357 -49.080158 -18.234922 -21.090254
0 42815.281250 3327.344238 98.680534 -45.006062 -17.878765 -21.151653
0 44554.781250 1890.697998 100.864357 -45.747410 -17.999441 -21.544868
0 45268.343750 2011.868286 100.739441 -46.336037 -17.650187 -20.422476
0 44437.417969 1887.270020 99.522423 -45.940170 -18.184261 -20.671152
0 41988.843750 1666.730713 100.334641 -45.625900 -18.120035 -21.741549
0 43088.351562 3209.248047 101.562225 -46.648746 -18.035521 -21.594662
0 43931.523438 2417.964600 98.516304 -45.059978 -17.970282 -20.472523
0 45274.949219 2689.486084 102.212067 -48.538715 -18.335245 -21.951246
0 44355.167969 1973.492676 101.499664 -47.279011 -17.502687 -20.699806
0 41596.160156 3152.063232 102.068741 -49.396545 -17.585714 -20.779247
0 41769.765625 3053.109619 98.119095 -45.211514 -17.568911 -20.604183
0 44805.371094 3068.258057 100.894157 -47.219261 -18.176292 -21.619642
0 43885.621094 3055.772705 104.095451 -46.933842 -17.267813 -20.688316
0 43761.980469 2758.625488 102.910454 -47.484245 -17.783310 -21.237997
0 43810.207031 2311.494629 101.179169 -47.566616 -18.090719 -21.129023
0 40828.675781 2242.945312 100.216263 -45.069023 -17.571039 -20.862635
0 41103.671875 1927.700684 100.939545 -43.738022 -17.449409 -20.963049
0 45470.417969 2730.878174 102.027229 -48.107323 -17.722355 -20.884520
0 44018.617188 2671.154297 101.846123 -46.113850 -18.302546 -20.858826
0 45742.515625 2508.719727 101.887321 -46.947392 -17.565161 -20.388769
0 43745.234375 1801.328613 99.518570 -47.756714 -17.215553 -20.264776
0 42326.257812 1578.907349 101.875908 -46.278168 -18.999165 -22.083881
0 43095.394531 2873.073730 102.803200 -49.367329 -17.837320 -20.800055
0 42943.117188 2977.137939 104.831734 -49.344978 -17.542181 -20.535391
0 42027.406250 2973.044189 100.534874 -43.175133 -16.825094 -20.271770
0 44265.171875 2709.233643 102.565834 -47.281647 -17.662804 -21.351555
0 42964.332031 2270.196533 99.721016 -45.195625 -17.638803 -21.315561
0 43558.949219 1868.734131 101.215363 -46.521706 -17.790365 -21.285845
0 43522.273438 2103.593994 100.855980 -45.410271 -16.880642 -20.066799
0 42234.222656 2909.143311 104.922600 -49.603203 -17.732376 -20.359827
0 44088.972656 1886.705933 98.161301 -47.666775 -17.298300 -20.617876
0 43546.546875 3065.086914 101.642830 -46.108604 -17.692348 -21.316172
0 41848.289062 2991.314453 101.317535 -45.299198 -18.076756 -20.470694
0 43940.699219 2163.179688 101.163300 -48.179012 -17.251225 -20.243870
0 40445.914062 2282.942383 100.574112 -45.490513 -17.297777 -20.714111
0 41418.863281 2514.664551 99.370895 -46.235645 -17.009325 -20.210629
0 44288.269531 2925.094238 101.272865 -47.631351 -17.393414 -20.931297
0 41929.031250 2037.152100 98.524597 -46.462543 -17.715010 -20.646152
0 42288.312500 1734.647705 101.525200 -46.233582 -18.766554 -21.847622
0 42795.796875 3116.026855 100.620491 -46.365925 -17.538210 -21.413656
0 44614.152344 3468.639404 100.430519 -47.340618 -17.127224 -20.619236
0 42254.285156 2264.824707 102.945091 -50.019665 -17.650084 -20.210356
0 42264.148438 1984.005249 101.318077 -45.574196 -17.990372 -20.886892
0 42180.488281 3197.292236 98.865334 -45.489391 -17.441414 -20.996288
0 42804.410156 3297.041748 104.972366 -49.786755 -17.726889 -20.906435
0 43882.835938 2118.333740 99.874222 -47.670532 -16.756918 -20.186852
0 44406.925781 3170.249023 103.803299 -47.343773 -16.854776 -20.166780
0 42697.394531 2416.887207 104.002831 -49.724491 -17.827730 -20.786896
0 42687.382812 2476.489746 101.629982 -44.370117 -17.194372 -20.555511
0 44107.726562 2282.613770 101.433372 -46.008816 -17.419123 -20.552826
0 43961.320312 2384.001953 98.697891 -45.058353 -17.609818 -20.194204
0 42691.140625 2486.324463 101.040421 -46.106758 -17.545372 -21.317612
0 42530.343750 3343.821777 100.547920 -46.277939 -17.517054 -21.044180
0 44604.238281 2560.165527 102.459831 -48.271915 -16.965487 -20.309376
0 41280.652344 2416.997314 101.302834 -43.603603 -16.877748 -20.320639
0 42236.382812 2798.008789 102.733017 -48.650116 -17.234509 -20.180672
0 42368.421875 2077.538330 100.242081 -46.099957 -18.303732 -20.497299
0 41824.109375 2844.910400 100.247498 -45.183071 -17.364088 -21.445734
0 41842.820312 2429.695068 100.325897 -45.736427 -17.417566 -21.083382
0 41714.222656 2024.284668 101.214806 -46.370541 -17.357382 -20.642668
0 43630.097656 2075.767578 100.620483 -47.110348 -17.105555 -20.421352
0 43806.078125 2281.242676 100.892693 -46.010578 -17.384027 -20.877230
0 42528.199219 3148.991943 100.747955 -45.068146 -16.530678 -20.004843
0 41234.781250 2698.312500 100.366859 -46.642887 -17.185543 -20.679140
0 43574.410156 2876.029053 102.388412 -49.036774 -17.124346 -20.335062
0 43624.761719 3101.461670 100.021431 -46.744152 -16.660681 -20.026817
0 42684.539062 2832.789551 105.017349 -49.974655 -17.360514 -21.009121
0 40294.660156 2227.146240 100.613983 -44.894180 -16.926821 -20.180317
0 43384.867188 2826.856934 102.752167 -44.784023 -16.863810 -20.306641
0 43021.761719 2588.969238 101.606598 -45.955185 -16.830318 -20.184687
0 40333.769531 2878.200684 98.062416 -46.966969 -16.904709 -20.503708
0 41731.328125 3442.140137 99.506332 -44.968140 -16.713484 -20.256475
0 42815.406250 2986.861328 102.658737 -49.871082 -17.347178 -20.101076
0 43935.394531 1468.792725 100.656738 -46.219116 -17.168034 -20.663410
0 42383.164062 2019.249023 100.567184 -45.821148 -17.056438 -20.752266
0 43834.093750 2736.428955 102.468231 -47.176586 -16.612757 -20.096039
0 44385.566406 1992.461548 98.740425 -45.434956 -16.892382 -20.218212
0 42385.546875 2889.054199 100.510040 -45.618046 -17.445288 -21.551111
0 42266.066406 2915.961182 100.579468 -45.614807 -17.057833 -20.801630
0 41927.726562 3225.351562 100.136673 -47.085129 -16.903496 -20.449533
0 42231.621094 2654.025635 100.759926 -46.716450 -16.966097 -20.681337
0 42526.449219 2900.567871 101.006752 -45.774292 -16.939819 -20.641941
0 42975.214844 3210.242676 104.034340 -49.515980 -17.079662 -20.346083
0 43017.593750 1752.449219 101.479362 -46.513908 -17.444397 -20.354422
0 43033.269531 1551.120850 99.918686 -45.852428 -17.027885 -20.194862
0 41732.429688 3053.240723 100.846054 -44.825348 -16.830666 -20.378790
0 41950.214844 1116.857178 100.286621 -45.617321 -17.365030 -20.753143
0 41302.035156 2975.571777 98.052094 -43.695484 -16.889786 -20.346981
0 42381.515625 3347.329834 100.693794 -45.962135 -16.701851 -20.858902
0 43600.609375 2003.270264 100.041557 -46.279701 -16.673014 -20.341824
0 44304.140625 2061.690430 101.407051 -46.328495 -16.774530 -20.620153
0 42190.136719 2362.557129 102.136047 -46.125652 -16.548985 -20.020260
0 42762.753906 2586.440430 100.613457 -45.723286 -16.774475 -20.897871
0 42666.117188 2388.276611 100.750305 -46.170582 -16.486431 -20.103161
0 41781.792969 2909.498779 100.278015 -44.847519 -16.552040 -20.201424
0 42438.671875 2722.688477 104.919556 -49.454056 -16.365120 -20.090025
0 42395.992188 3190.619141 100.610687 -45.638947 -16.686655 -20.815107
0 42354.554688 3090.206055 100.693359 -45.695034 -16.067404 -20.343088
0 42792.808594 2885.858154 100.814056 -46.005291 -15.955504 -20.240599
0 42346.601562 3486.013428 100.749794 -45.709187 -16.402460 -20.544607
1 52578.093750 3478.722412 295.265869 14.820280 -22.031662 -26.059793
1 51557.101562 3139.700684 294.084869 15.543980 -21.735443 -25.724421
1 52162.281250 3318.791016 295.637543 14.371086 -21.789457 -25.784700
1 53410.296875 3379.044922 294.194000 13.551975 -21.410385 -25.412882
1 52613.464844 3271.295410 294.895874 14.934959 -21.191141 -24.984930
1 52917.296875 3099.907715 296.550781 15.501619 -22.294743 -25.360270
1 53020.398438 2959.452637 295.283569 14.373169 -21.455679 -25.348961
1 52536.292969 2666.495605 297.334198 14.297252 -21.397411 -24.630222
1 52197.968750 3008.935791 294.872650 13.775131 -20.706823 -24.588249
1 52400.257812 2893.952881 294.810059 15.091664 -20.686867 -24.618242
1 54465.691406 3294.556152 294.020935 14.287915 -20.580948 -24.529030
1 52716.691406 2942.548340 293.415283 13.567774 -20.029234 -23.918236
1 51251.593750 3356.584961 295.120697 15.605000 -20.589249 -23.782598
1 52907.625000 3224.955322 294.757599 14.956535 -20.271120 -23.894381
1 52949.152344 2876.824463 295.444031 14.993220 -19.917170 -23.478151
1 53786.914062 3290.104980 295.464783 14.734200 -20.062725 -23.921122
1 52680.132812 2850.390869 294.476990 14.716762 -20.382717 -23.783655
1 52717.242188 3430.059082 293.988647 14.932261 -20.655806 -23.771175
1 52289.046875 3362.607910 295.027435 14.160429 -20.113958 -23.871256
1 54001.531250 2897.409424 293.505219 13.287292 -20.093458 -23.441881
1 50877.363281 2983.639648 294.073303 16.432737 -18.608524 -21.609819
1 53658.640625 3306.575439 294.544708 14.673458 -20.529329 -23.509115
1 52406.472656 2877.525146 294.369324 14.242713 -20.191998 -22.548388
1 53122.476562 3451.109375 296.021515 14.435420 -19.726913 -23.172382
1 52658.000000 3360.691406 296.774750 15.067731 -19.203430 -22.849714
1 53307.593750 3236.587891 296.778320 14.738448 -18.898308 -22.241879
1 54068.781250 2330.116211 294.395508 13.915963 -19.914879 -22.667276
1 52772.218750 3014.007812 292.804108 15.246163 -18.382555 -21.826338
1 53868.812500 2831.361572 294.674896 14.384849 -19.531103 -22.788702
1 53332.636719 3261.417480 294.787720 15.289207 -18.243912 -21.677654
1 52543.839844 3466.404297 294.273499 14.896799 -19.807461 -22.980774
1 52635.660156 2729.066406 292.654144 14.280115 -18.286409 -21.515612
1 52192.726562 3148.970947 292.542450 15.192116 -18.617701 -21.350348
1 53252.132812 3318.658203 294.108704 13.981594 -18.949976 -22.375694
1 51211.398438 3222.223389 295.273590 13.646922 -18.340828 -21.590040
1 51578.968750 3226.592529 293.630096 15.516803 -18.932554 -22.314840
1 53166.964844 2957.587158 294.439941 14.295995 -19.614754 -22.927937
1 53676.996094 3365.149170 294.787537 14.462966 -19.416842 -22.369120
1 52464.960938 3378.054199 295.764618 16.044025 -18.099453 -20.957428
1 52308.714844 3043.469238 294.234436 14.478190 -18.811094 -22.086952
1 50853.273438 2923.742920 294.105835 16.681002 -18.309551 -21.345514
1 51555.757812 2980.398438 293.391876 14.576436 -17.985035 -20.410021
1 53483.253906 3239.231445 293.288239 14.017385 -18.479805 -21.321758
1 53622.332031 3308.963623 294.477692 14.353566 -18.353291 -22.379562
1 53565.773438 3248.974609 294.207428 14.148415 -18.135969 -22.058884
1 51661.500000 2848.432617 293.788269 14.894935 -17.932642 -21.036457
1 53772.324219 2670.835205 293.737976 14.904038 -18.292313 -21.781898
1 52458.550781 2810.099365 296.184479 14.562099 -17.904165 -21.194487
1 53075.300781 2981.327148 293.210938 15.228432 -17.785202 -21.058594
1 52271.023438 3282.530518 293.573486 15.409889 -18.022343 -21.020269
1 51149.492188 2897.030273 293.526093 15.553624 -16.998779 -20.184669
1 52077.710938 3076.718994 294.812286 15.979903 -17.552336 -20.416313
1 53131.835938 2882.664062 294.898102 14.646725 -18.840950 -21.403996
1 53052.789062 3146.850830 294.673737 15.331438 -17.926056 -21.048244
1 53248.863281 3336.595947 295.353027 15.190360 -18.303995 -21.601746
1 53192.160156 3221.858643 295.051971 14.883303 -17.870926 -20.865101
1 52544.832031 3358.047852 293.670624 14.965374 -17.588404 -20.133745
1 53190.125000 3278.698486 295.117737 14.772025 -18.609516 -21.097422
1 52831.433594 3398.161621 295.770844 14.294042 -17.341511 -20.661430
1 53059.441406 2903.906006 294.359161 14.418098 -18.421921 -21.039072
1 53523.199219 3390.558838 294.776581 13.269131 -17.507021 -20.870440
1 52974.308594 2985.120605 295.277405 14.295025 -17.787840 -21.716805
1 52959.343750 3464.424561 294.514069 14.165976 -17.798866 -20.545164
1 52911.382812 3453.544678 294.273895 14.612752 -17.085182 -20.389292
1 52881.984375 3230.654297 295.196472 14.004121 -17.067318 -20.667173
1 53066.734375 2899.963135 294.331482 14.253033 -17.470467 -20.695965
1 52434.148438 2426.788574 295.319763 14.768385 -17.884974 -20.236462
1 52718.011719 3206.013184 294.986176 14.547872 -17.230923 -20.639925
1 53024.218750 2569.687256 296.053162 14.486134 -17.903746 -20.235569
1 53104.636719 2988.811523 293.773438 14.137883 -16.815630 -20.013048
1 52823.210938 2582.686279 295.631653 15.029830 -16.838211 -20.140501
1 52732.179688 3339.190430 295.438934 14.480506 -17.453836 -20.903906
1 52014.968750 3382.999268 294.173615 14.547770 -16.976686 -20.025705
1 52943.820312 3042.174072 295.346161 15.095168 -16.939657 -20.069265
1 52579.800781 3384.336182 294.048157 14.526507 -17.025549 -20.313866
1 53413.718750 2735.072266 293.509766 14.296377 -17.002413 -20.033491
1 53014.367188 2761.966797 295.021698 14.318364 -17.210337 -20.223475
1 52508.535156 3069.169922 295.212006 14.184827 -16.743650 -20.317593
1 51468.855469 2855.243408 294.005646 15.593102 -16.724680 -20.397898
1 51707.218750 3164.644287 295.725159 14.623749 -16.846632 -20.072466
1 51607.265625 3114.994873 294.171326 15.345119 -16.848919 -20.489376
1 52913.285156 3061.782471 296.548920 15.507882 -19.153120 -21.731592
1 53274.125000 3270.181396 293.492371 14.437946 -16.557945 -20.215267
1 52615.671875 3217.230469 294.851959 15.024701 -16.877607 -20.135025
1 52868.093750 2850.121826 293.535675 14.105659 -16.540302 -20.171545
1 53122.804688 3175.868896 295.260254 14.298932 -16.756516 -20.557615
1 52912.707031 3093.339844 296.538605 15.499263 -18.125425 -20.171194
2 44756.199219 2869.445557 281.485413 14.610655 -24.232559 -28.065443
2 45499.703125 3326.152588 281.995911 13.924139 -22.092831 -26.116766
2 45100.390625 2443.468750 282.560333 14.746043 -21.893700 -25.907001
2 45490.519531 3044.075195 283.196716 15.825711 -22.392000 -26.030598
2 43823.421875 2383.172363 278.073364 13.163515 -20.617476 -24.529469
2 44648.167969 3255.986328 282.443787 14.494016 -21.302437 -25.246244
2 43785.507812 2661.233154 278.744568 12.962940 -21.448114 -24.849277
2 43950.660156 2943.409424 283.284332 13.266692 -22.055664 -25.197496
2 44824.203125 2757.294922 280.416992 14.672235 -20.874504 -24.947147
2 44280.035156 3020.555176 281.772278 16.417458 -20.209417 -24.012798
2 44926.421875 2841.436523 281.483551 14.568786 -20.805862 -24.889950
2 44798.957031 3293.810791 280.751648 16.289953 -21.087971 -24.325075
2 44579.394531 3254.876221 280.332214 13.852463 -20.107208 -23.873745
2 45887.539062 3159.138916 282.067169 13.774291 -20.305361 -24.275185
2 44585.292969 3178.130127 281.434937 14.278271 -20.201727 -24.233418
2 43549.187500 3150.103027 281.613922 13.203459 -20.666269 -23.975626
2 44097.179688 2791.819580 280.181732 12.955974 -20.879517 -24.004942
2 45320.250000 2747.442383 282.319885 14.512888 -20.247854 -24.210716
2 44657.269531 3319.690674 282.428192 15.526297 -20.169685 -24.171457
2 44682.164062 2653.254639 281.342468 12.792295 -19.818226 -23.703272
2 45099.605469 3152.745850 281.011902 13.840223 -20.021437 -23.692314
2 45561.273438 3158.864258 280.840576 15.260165 -19.893522 -23.782766
2 43618.621094 2450.250488 278.142365 13.267587 -20.342360 -24.057255
2 45259.339844 2094.560303 282.057465 14.271741 -20.832439 -24.264719
2 43821.007812 2130.700928 279.351868 14.274733 -20.598440 -23.452524
2 46341.433594 3135.258301 283.751251 14.657537 -19.845222 -23.742708
2 44165.980469 2650.282715 281.038849 14.270594 -20.716768 -23.906895
2 45082.957031 3380.947510 280.891510 15.130282 -19.759325 -23.725258
2 45964.542969 2826.579834 284.284851 15.973441 -19.876524 -23.333529
2 44449.289062 1797.415527 281.502106 15.214225 -20.204441 -23.695337
2 44705.859375 2078.867188 281.445709 14.131783 -20.488729 -24.006565
2 46320.523438 2878.434326 282.812805 15.408640 -20.012966 -23.472544
2 46152.437500 3091.067383 281.684906 15.364680 -19.808084 -23.219336
2 44850.371094 2312.737549 281.239349 14.560781 -19.293131 -23.464737
2 45008.015625 2772.011719 282.889313 16.658463 -19.705812 -22.964144
2 44777.296875 3116.539795 281.588806 14.662865 -19.199039 -23.521006
2 44165.292969 2468.339600 282.303345 14.988501 -19.665213 -23.326263
2 43946.960938 2524.996826 281.335388 15.438146 -19.262133 -23.227240
2 45212.695312 3368.251953 281.147064 15.896910 -19.340630 -22.609476
2 44938.230469 2569.643066 282.475922 14.771704 -20.369667 -23.611828
2 44024.085938 2352.567871 279.311829 13.279355 -19.556412 -22.347313
2 45682.472656 2605.189209 282.919128 12.135525 -19.321529 -22.571846
2 44282.906250 3030.665771 281.062775 16.425341 -19.377504 -22.640978
2 44057.812500 2644.154297 279.781189 12.552439 -19.471985 -22.817966
2 44650.824219 2463.207764 282.805054 12.887494 -18.989258 -22.420858
2 44832.414062 2737.995850 283.985016 15.549888 -18.614357 -22.232832
2 46561.234375 2769.975586 283.375183 16.051012 -18.380150 -22.176628
2 43520.226562 3081.287354 281.702484 14.932849 -19.095814 -22.030586
2 43777.230469 3214.520508 279.445435 12.274137 -19.034563 -21.919088
2 43989.886719 2693.157227 278.708954 13.043755 -19.114189 -21.918726
2 44378.921875 2502.312500 280.737549 14.639055 -18.809376 -22.797270
2 44209.007812 3385.494629 281.393066 14.410435 -19.321594 -22.770966
2 45270.046875 2155.875000 282.681000 14.520783 -18.785894 -22.700972
2 45102.722656 2857.154297 279.798920 14.899230 -18.629704 -21.464766
2 44806.500000 2703.234375 281.497223 14.527210 -18.672495 -22.693869
2 46056.332031 2955.469238 284.874237 14.642210 -18.017792 -21.722055
2 43595.210938 2045.604004 279.770386 13.545842 -18.633884 -21.420832
2 43851.214844 2579.362061 278.108124 13.139671 -19.252428 -22.721956
2 45232.921875 2460.566406 279.317841 15.614679 -18.058605 -21.777920
2 44204.550781 2767.197021 281.582977 12.858097 -17.734711 -21.191156
2 46271.527344 2686.690430 282.199615 14.611666 -18.455280 -21.763222
2 43987.769531 2816.629639 281.004883 13.124358 -18.890610 -22.411436
2 44880.835938 2378.436035 281.529724 13.686462 -18.996750 -22.008018
2 46185.757812 2515.605957 282.638245 15.271421 -18.122744 -21.061769
2 44827.320312 2176.666016 282.713318 14.929810 -18.227491 -22.099031
